weights,heights,weights(kg),heights(cm),BMI
175,"5' 10""",79.37866475,,
210,"6' 0""",95.2543977,,
136,"5' 6""",61.68856232,,
140,"5' 10""",63.5029318,,
160,"5' 10""",72.5747792,,
150,"5' 9""",68.0388555,,
180,"6' 0""",81.6466266,,
200,"6' 3""",90.718474,,
165,"5' 7""",74.84274105,,
160,"6' 3""",72.5747792,,
135,"5' 10""",61.23496995,,
125,"5' 6""",56.69904625,,
197,"6' 0""",89.35769689,,
160,"6' 0""",72.5747792,,
150,"5' 11""",68.0388555,,
195,"6' 2""",88.45051215,,
160,"5' 6""",72.5747792,,
190,"6' 0""",86.1825503,,
135,"5' 2""",61.23496995,,
140,"5' 9""",63.5029318,,
175,"5' 0""",79.37866475,,
210,"6' 2""",95.2543977,,
135,"5' 7""",61.23496995,,
175,"5' 5""",79.37866475,,
160,"5' 10""",72.5747792,,
180,"5' 8""",81.6466266,,
105,"5' 2""",47.62719885,,
155,"6' 0""",70.30681735,,
130,"5' 7""",58.9670081,,
130,"5' 3""",58.9670081,,
200,"6' 1""",90.718474,,
165,"5' 6""",74.84274105,,
150,"5' 9""",68.0388555,,
160,"5' 10""",72.5747792,,
140,"6' 2""",63.5029318,,
120,"5' 7""",54.4310844,,
120,"5' 2""",54.4310844,,
250,"5' 10""",113.3980925,,
250,"5' 10""",113.3980925,,
250,"5' 10""",113.3980925,,
170,"6' 0""",77.1107029,,
150,"6' 0""",68.0388555,,
175,"5' 8""",79.37866475,,
175,"5' 8""",79.37866475,,
180,"5' 4""",81.6466266,,
170,"5' 9""",77.1107029,,
135,"5' 4""",61.23496995,,
200,"6' 0""",90.718474,,
140,"5' 4""",63.5029318,,
185,"6' 0""",83.91458845,,
155,"5' 11""",70.30681735,,
120,"5' 4""",54.4310844,,
162,"5' 5""",73.48196394,,
200,"6' 0""",90.718474,,
145,"5' 3""",65.77089365,,
280,"6' 0""",127.0058636,,
175,"5' 9""",79.37866475,,
175,"5' 9""",79.37866475,,
205,"5' 11""",92.98643585,,
145,"5' 8""",65.77089365,,
145,"5' 8""",65.77089365,,
205,"5' 10""",92.98643585,,
205,"5' 10""",92.98643585,,
205,"5' 10""",92.98643585,,
205,"5' 10""",92.98643585,,
165,"5' 8""",74.84274105,,
165,"5' 10""",74.84274105,,
120,"5' 4""",54.4310844,,
200,"5' 8""",90.718474,,
195,"5' 8""",88.45051215,,
150,"5' 5""",68.0388555,,
190,"5' 9""",86.1825503,,
170,"6' 0""",77.1107029,,
220,"5' 8""",99.7903214,,
220,"5' 8""",99.7903214,,
150,"5' 6""",68.0388555,,
160,"5' 1""",72.5747792,,
155,"6' 1""",70.30681735,,
185,"5' 1""",83.91458845,,
160,"5' 6""",72.5747792,,
200,"6' 1""",90.718474,,
190,"6' 2""",86.1825503,,
150,"5' 5""",68.0388555,,
150,"5' 5""",68.0388555,,
150,"5' 5""",68.0388555,,
150,"5' 5""",68.0388555,,
150,"5' 5""",68.0388555,,
180,"6' 1""",81.6466266,,
130,"4' 10""",58.9670081,,
175,"6' 2""",79.37866475,,
158,"5' 6""",71.66759446,,
205,"5' 4""",92.98643585,,
205,"5' 4""",92.98643585,,
205,"5' 5""",92.98643585,,
150,"5' 4""",68.0388555,,
220,"6' 2""",99.7903214,,
160,"6' 1""",72.5747792,,
165,"5' 4""",74.84274105,,
175,"6' 0""",79.37866475,,
185,"6' 0""",83.91458845,,
175,"5' 7""",79.37866475,,
164,"5' 10""",74.38914868,,
150,"5' 9""",68.0388555,,
160,"5' 9""",72.5747792,,
180,"5' 9""",81.6466266,,
180,"5' 9""",81.6466266,,
130,"5' 11""",58.9670081,,
160,"5' 9""",72.5747792,,
140,"5' 5""",63.5029318,,
122,"5' 4""",55.33826914,,
185,"5' 10""",83.91458845,,
145,"5' 1""",65.77089365,,
160,"5' 3""",72.5747792,,
160,"5' 4""",72.5747792,,
260,"6' 2""",117.9340162,,
220,"6' 2""",99.7903214,,
200,"6' 2""",90.718474,,
220,"5' 11""",99.7903214,,
165,"6' 0""",74.84274105,,
115,"4' 11""",52.16312255,,
122,"5' 6""",55.33826914,,
247,"6' 3""",112.0373154,,
180,"5' 7""",81.6466266,,
300,"6' 0""",136.077711,,
150,"5' 9""",68.0388555,,
150,"5' 9""",68.0388555,,
165,"5' 9""",74.84274105,,
110,"5' 2""",49.8951607,,
200,"5' 6""",90.718474,,
200,"5' 6""",90.718474,,
195,"6' 0""",88.45051215,,
200,"6' 3""",90.718474,,
150,"5' 10""",68.0388555,,
165,"6' 0""",74.84274105,,
170,"6' 0""",77.1107029,,
200,"5' 9""",90.718474,,
230,"5' 11""",104.3262451,,
280,"6' 2""",127.0058636,,
170,"5' 11""",77.1107029,,
0,0,0,,
220,"5' 11""",99.7903214,,
160,"5' 9""",72.5747792,,
160,"6' 0""",72.5747792,,
160,"6' 0""",72.5747792,,
150,"6' 0""",68.0388555,,
102,"5' 1""",46.26642174,,
175,"5' 11""",79.37866475,,
250,"6' 1""",113.3980925,,
250,"6' 1""",113.3980925,,
260,"6' 2""",117.9340162,,
175,"5' 10""",79.37866475,,
125,"5' 4""",56.69904625,,
150,"5' 5""",68.0388555,,
170,"6' 2""",77.1107029,,
135,"5' 2""",61.23496995,,
135,"5' 2""",61.23496995,,
135,"5' 2""",61.23496995,,
160,"6' 1""",72.5747792,,
150,"5' 11""",68.0388555,,
185,"5' 11""",83.91458845,,
165,"5' 11""",74.84274105,,
225,"6' 3""",102.0582833,,
185,"6' 0""",83.91458845,,
220,"6' 1""",99.7903214,,
135,"5' 8""",61.23496995,,
165,"6' 0""",74.84274105,,
155,"5' 7""",70.30681735,,
125,"5' 7""",56.69904625,,
125,"5' 7""",56.69904625,,
200,"6' 0""",90.718474,,
200,"6' 0""",90.718474,,
125,"5' 7""",56.69904625,,
160,"5' 3""",72.5747792,,
150,"5' 8""",68.0388555,,
160,"5' 10""",72.5747792,,
150,"5' 8""",68.0388555,,
160,"5' 10""",72.5747792,,
190,"6' 0""",86.1825503,,
145,"5' 6""",65.77089365,,
120,"5' 6""",54.4310844,,
120,"5' 6""",54.4310844,,
144,"5' 6""",65.31730128,,
